province,city,measure,date_start,date_end_if_by_030820,source
Hubei,Wuhan,Lockdown,01/23/2020,NA,http://www.gov.cn/xinwen/2020-01/23/content_5471751.htm; http://www.gov.cn/xinwen/2020-01/24/content_5472010.htm
Hubei,Ezhou,Lockdown,01/23/2020,NA,http://www.ezhou.gov.cn/gk/gsgg_1/202001/t20200123_322318.html; http://www.ezhou.gov.cn/gk/gsgg_1/202001/t20200125_322617.html; http://www.ezhou.gov.cn/gk/gsgg_1/202001/t20200125_322632.html
Hubei,Huanggang,Lockdown,01/24/2020,NA,http://www.hg.gov.cn/art/2020/1/23/art_30_892391.html; https://zh.m.wikisource.org/wiki/%E9%BB%84%E5%86%88%E5%B8%82%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E9%98%B2%E6%8E%A7%E6%8C%87%E6%8C%A5%E9%83%A8%E9%80%9A%E5%91%8A%EF%BC%88%E7%AC%AC6%E5%8F%B7%EF%BC%89
Hubei,Enshi Tujia and Miao Autonomous Prefecture,Lockdown,01/25/2020,NA,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
Hubei,Huangshi,Lockdown,01/24/2020,NA,http://www.huangshi.gov.cn/ztjj/kjfd/zltg/202001/t20200128_597869.html; http://www.huangshi.gov.cn/ztjj/kjfd/zltg/202001/t20200128_597853.html; http://www.huangshi.gov.cn/ztjj/kjfd/zltg/202001/t20200128_597857.html; http://www.huangshi.gov.cn/ztjj/kjfd/zltg/202001/t20200128_597864.html
Hubei,Jingmen,Lockdown,01/24/2020,NA,https://www.jmzx.gov.cn/art/2020/1/23/art_4816_643468.html; https://www.jmzx.gov.cn/art/2020/1/25/art_4816_643846.html
Hubei,Jingzhou,Lockdown,01/24/2020,NA,http://www.jingzhou.gov.cn/zfwgk/xxgkml/gysyjs/wsjk/yqxx/202008/t20200814_512504.shtml
Hubei,Qianjiang,Lockdown,01/24/2020,NA,http://www.cnqjw.com/html/2020/qjxw_0124/301769.html; http://www.cnqjw.com/html/2020/qjxw_0125/301820.html
Hubei,Shiyan,Lockdown,01/25/2020,NA,http://www.shiyan.gov.cn/2020ztzl/xxfy/202001/t20200124_2004222.shtml; http://www.shiyan.gov.cn/2020ztzl/xxfy/202001/t20200125_2004270.shtml; http://www.shiyan.gov.cn/2020ztzl/xxfy/202001/t20200126_2004314.shtml; http://www.shiyan.gov.cn/2020ztzl/xxfy/202001/t20200126_2004402.shtml; https://zh.m.wikisource.org/wiki/%E5%8D%81%E5%A0%B0%E5%B8%82%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93%E7%9A%84%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E9%98%B2%E6%8E%A7%E6%8C%87%E6%8C%A5%E9%83%A8%E9%80%9A%E5%91%8A%EF%BC%88%E7%AC%AC4%E5%8F%B7%EF%BC%89; https://zh.m.wikisource.org/wiki/%E5%8D%81%E5%A0%B0%E5%B8%82%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93%E7%9A%84%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E9%98%B2%E6%8E%A7%E6%8C%87%E6%8C%A5%E9%83%A8%E9%80%9A%E5%91%8A%EF%BC%88%E7%AC%AC5%E5%8F%B7%EF%BC%89; https://zh.m.wikisource.org/wiki/%E5%8D%81%E5%A0%B0%E5%B8%82%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93%E7%9A%84%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E9%98%B2%E6%8E%A7%E6%8C%87%E6%8C%A5%E9%83%A8%E9%80%9A%E5%91%8A%EF%BC%88%E7%AC%AC12%E5%8F%B7%EF%BC%89
Hubei,Suizhou,Lockdown,01/25/2020,NA,http://www.suizhou.gov.cn/gzhd/xwfbh/202001/t20200126_726766.shtml
