country_territory,date_start,note,source
North Korea,1/23/20,,https://www.reuters.com/article/us-china-health-northkorea/burdened-by-sanctions-north-korea-sees-coronavirus-threaten-economic-lifelines-idUSKBN1ZY0HB
Marshall Islands,1/24/20,,https://mh.usembassy.gov/wp-content/uploads/sites/83/2019-nCoV-Travel-Advisory.pdf
Hong Kong,1/27/20,Hubei,https://www.info.gov.hk/gia/general/202001/26/P2020012600751.htm
Papua New Guinea,1/29/20,,https://ica.gov.pg/uploads/media/public_notice_1577386-refusal-of-entry-for-travellers-from-the-asian-ports2.pdf
Singapore,1/29/20,,https://www.gov.sg/article/how-is-singapore-limiting-the-spread-of-covid-19
Bahamas,1/30/20,,https://www.bahamas.gov.bs/wps/portal/public/gov/government/news/who%20declares%20the%20novel%20coronavirus%20outbreak%20a%20public%20health%20emergency%20of%20international%20concern/!ut/p/b1/vVTJsqM4EPyW-QDaAiyWIxgDZt8EhgvBYsAsNgZjMF8_vNmiX0f0vMv0SCdFZFVWZWVpF-3Ou-iWvK5l8rzeb0n78Y6omASSznF7RmdEigMnRIokVDlSsvFdsDsrIW2ko14eT04RuQwW9ELin8ln-HbPyQD0qgpf4sQfi2K0oWfH4JFF2aqT4JyAUKUEMrXiJpkNogzTaYnEHM6u6lB-fVeSh3vg1TmlD0qTKbL0etiBDevRdV0YYQ6tBW5XpC5ZWsSJWmtfvNu8qTk80XLgEUObfSWX_ZJR7EVBFy9lCYZLZGnIyWaq9TxLxYtzjLGpreUui4uQ0l5FtbQJ2zMBhXf8ZdXouPDmJItI-7dNjHATA_zkcOArrf6M_wcgQUBtAEvjLFomzP2X8couuqbdtznrvoFvNENAwNIsSRIQspDcJhF9TgAonNgS0BrvKywOXOIvwL818DnDDxWqxBeArYVwA9DfATwfgBMOOMfFbcDQ9M7bncE-dut3f1qb1alXRzHQorgAmlsNq1FrjoGa1XgGuC7wOgC4atQXwj0-Fb0p8TEXrNx3EM8Jt8eNon8kNAmP3QgPOKUiCFyJ_NWEEjSZD5U9i4PEJiL1fxPCD8I6JPk_dvDoxNsOQjQI_BiZKY5MZLPOKfVRK86vWkGpGHKiicuQzYpRaP00ueWyacmP1l8udMLiS15f8SGozAp7tGFWkNhEZv7Vr9PcZy0FozLmQDNoZN7LhHUdy1C3m3jo7ZbIg70SKCndVB4-G_zVf6Ok42hl6tqHVHYxH2YjpcVLd9atRW6D-j7o7EGbJc12u-56cbsT0Oar4I6A8s-GtJJAOAZrcY35QHXPFRyIEax1MerdsL7aM1LPxrg2srN2Ln7XhIpx4J1b7Oag6ZMqWSi0uPd9GGe8d2QBq6sECexWztxqvIY11kNgeO62gnaqw6PTg7nch-m1QnhcGsW7ioQTfGJJ_u4VU_CxW2xLpQir9e-BSKZuHz4s5_EfliNlmaM00jziv8oBPyP87z3-6aeBe3z7YXCCpQiaoHF65z8Rs6DSXgRrUjvoZOhpOcxeaKUxSdnopHv9sryUiSYX3ZQbXlD8Zh2vboxpeYP3MM8kSc-ydpiQ3WvPWcUxeEBsmxGGYNN3PLuKqvF43YaSXXXtvUdEzsa5U7wdFQDJU4Q-lyq1QKbbrCHcTw4vJGot6pI7O77Xqad7qy2r3INGNwKlmI-VnIy3g97YQ3j0j2X80EP6ze1jFFQQG2jWyGgvJkjnrgWkIwy0IYrC7VWdkkcVTgNDPC0XUW-IYZfiUGgUVnCiG-VmtzPke3fZ9d1L1aBydBj8u0uWvwNPAt1N/dl4/d5/L2dBISEvZ0FBIS9nQSEh/
Trinidad and Tobago,1/30/20,,https://www.guardian.co.tt/news/cabinet-announces-14day-travel-restrictions-from-china-6.2.1042978.7a4c342a7f
Antigua and Barbuda,1/31/20,,https://www.facebook.com/OPMAntiguaBarbuda/photos/a.130456104419567/597015164430323/?type=3&theater
Brunei,1/31/20,Hubei,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/FINAL%20Press%20Release%20Current%20Situation%20Coronavirus%20(30.1.2020).pdf
Cook Islands,1/31/20,,https://www.health.gov.ck/travel-advisory-2019ncov-acute-respiratory-disease/
