date,aircraft_type,cycles
12/30/19,223,233
12/30/19,32N,347
12/30/19,32Q,218
12/30/19,340,2
12/30/19,350,17
12/30/19,737,1801
12/30/19,73F,12
12/30/19,73K,3
12/30/19,747,12
12/30/19,74F,11
12/30/19,74N,6
12/30/19,75T,16
12/30/19,767,98
12/30/19,777,90
12/30/19,781,28
12/30/19,787,155
12/30/19,A139,27
12/30/19,A140,2
12/30/19,A148,14
12/30/19,A20N,291
12/30/19,A21N,142
12/30/19,A306,85
12/30/19,A310,21
12/30/19,A318,109
12/30/19,A319,5513
12/30/19,A320,21740
12/30/19,A321,6776
12/30/19,A330,446
12/30/19,A332,793
12/30/19,A333,1348
12/30/19,A339,58
12/30/19,A343,61
12/30/19,A345,3
12/30/19,A346,43
12/30/19,A359,553
12/30/19,A35K,56
12/30/19,A388,340
12/30/19,A748,2
12/30/19,AJ27,33
12/30/19,AN24,6
12/30/19,AS50,1
12/30/19,ASTR,2
12/30/19,AT43,1001
12/30/19,AT45,40
12/30/19,AT46,72
12/30/19,AT72,1944
12/30/19,AT73,3
12/30/19,AT75,10
12/30/19,AT76,196
12/30/19,AWH,5
12/30/19,B190,138
12/30/19,B350,11
12/30/19,B407,2
12/30/19,B412,20
12/30/19,B461,1
12/30/19,B462,21
12/30/19,B463,17
12/30/19,B712,796
12/30/19,B732,249
12/30/19,B733,304
12/30/19,B734,124
12/30/19,B735,225
12/30/19,B736,102
12/30/19,B737,4464
12/30/19,B738,18124
12/30/19,B739,2120
12/30/19,B742,2
12/30/19,B744,251
12/30/19,B748,71
12/30/19,B752,729
12/30/19,B753,120
12/30/19,B762,54
12/30/19,B763,737
12/30/19,B764,45
12/30/19,B772,682
12/30/19,B773,316
12/30/19,B77F,3
12/30/19,B77L,163
12/30/19,B77W,1206
12/30/19,B788,606
12/30/19,B789,852
12/30/19,B78X,28
12/30/19,BCS1,164
12/30/19,BCS3,18
12/30/19,BE10,10
12/30/19,BE18,1
12/30/19,BE20,19
12/30/19,BE30,3
12/30/19,BE35,2
12/30/19,BE99,12
12/30/19,BE9L,3
12/30/19,BN2P,20
12/30/19,BN2T,1
12/30/19,C10T,62
12/30/19,C172,78
12/30/19,C208,391
12/30/19,C25A,10
12/30/19,C25B,3
12/30/19,C310,16
12/30/19,C340,1
12/30/19,C402,221
12/30/19,C421,1
12/30/19,C510,2
12/30/19,C525,5
12/30/19,C550,1
12/30/19,C560,3
12/30/19,C680,1
12/30/19,CL35,1
12/30/19,CL60,10
12/30/19,CNA,9
12/30/19,CNF,4
12/30/19,CRJ,27
12/30/19,CRJ1,1
12/30/19,CRJ2,1833
12/30/19,CRJ7,1205
12/30/19,CRJ9,2169
12/30/19,CRJX,55
12/30/19,CRK,192
12/30/19,CVLP,7
12/30/19,CVLT,5
12/30/19,D228,16
12/30/19,D328,1
12/30/19,DA42,1
12/30/19,DH8A,243
12/30/19,DH8B,628
12/30/19,DH8C,463
12/30/19,DH8D,1936
12/30/19,DHC3,18
12/30/19,DHC4,31
12/30/19,DHC6,88
12/30/19,E110,2
12/30/19,E120,40
12/30/19,E135,512
12/30/19,E145,1243
12/30/19,E170,1067
12/30/19,E190,3015
12/30/19,E290,41
12/30/19,E295,46
12/30/19,E35L,2
12/30/19,E45X,280
12/30/19,E75L,2081
12/30/19,E75S,607
12/30/19,F100,129
12/30/19,F2TH,3
12/30/19,F50,27
12/30/19,F70,28
12/30/19,F900,4
12/30/19,FA50,6
12/30/19,FA7X,1
12/30/19,G280,2
12/30/19,GLEX,2
12/30/19,GLF5,1
12/30/19,H25B,15
12/30/19,HA4T,2
12/30/19,HEL,3
12/30/19,IL96,2
12/30/19,J328,38
12/30/19,JS31,1
12/30/19,JS32,26
12/30/19,JS41,17
12/30/19,L410,19
12/30/19,LJ35,4
12/30/19,LJ40,6
12/30/19,LJ45,4
12/30/19,LJ75,1
12/30/19,M20T,2
12/30/19,MA6,38
12/30/19,MD11,3
12/30/19,MD82,5
12/30/19,MD83,1
12/30/19,MD88,237
12/30/19,MD90,116
12/30/19,MU2,11
12/30/19,P180,2
12/30/19,P28B,3
12/30/19,P28U,2
12/30/19,P68,1
12/30/19,PA31,32
12/30/19,PA34,2
12/30/19,PA44,13
12/30/19,PC12,159
12/30/19,RJ1H,14
12/30/19,RJ85,20
12/30/19,S76,14
12/30/19,SB20,22
12/30/19,SF34,331
12/30/19,SH36,1
12/30/19,SR20,65
12/30/19,SU9,225
12/30/19,SU95,6
12/30/19,SW4,63
12/30/19,SW4B,7
12/30/19,T154,1
12/31/19,223,203
12/31/19,32N,298
12/31/19,32Q,201
12/31/19,340,2
12/31/19,350,15
12/31/19,737,1781
12/31/19,73F,4
12/31/19,73K,1
12/31/19,747,15
12/31/19,74F,10
12/31/19,74N,17
12/31/19,75T,9
12/31/19,767,92
12/31/19,777,98
12/31/19,781,21
12/31/19,787,147
12/31/19,A124,1
12/31/19,A139,52
12/31/19,A148,2
12/31/19,A20N,270
12/31/19,A21N,140
12/31/19,A306,88
12/31/19,A310,33
12/31/19,A318,72
12/31/19,A319,4933
12/31/19,A320,20462
12/31/19,A321,6346
12/31/19,A330,456
12/31/19,A332,846
12/31/19,A333,1279
12/31/19,A339,51
12/31/19,A343,41
12/31/19,A345,1
12/31/19,A346,36
12/31/19,A359,534
12/31/19,A35K,61
12/31/19,A388,327
12/31/19,A748,6
12/31/19,AJ27,23
12/31/19,AN24,2
12/31/19,AT43,887
12/31/19,AT45,35
12/31/19,AT46,61
12/31/19,AT72,1621
12/31/19,AT73,1
12/31/19,AT75,7
12/31/19,AT76,176
12/31/19,AWH,2
12/31/19,B190,204
12/31/19,B350,12
12/31/19,B407,5
12/31/19,B412,23
12/31/19,B462,14
12/31/19,B463,3
12/31/19,B712,618
12/31/19,B732,258
12/31/19,B733,218
12/31/19,B734,97
12/31/19,B735,188
12/31/19,B736,95
12/31/19,B737,4112
12/31/19,B738,16341
12/31/19,B739,1996
12/31/19,B744,224
12/31/19,B748,40
12/31/19,B752,626
12/31/19,B753,114
12/31/19,B762,55
12/31/19,B763,671
12/31/19,B764,42
12/31/19,B772,692
12/31/19,B773,288
12/31/19,B77L,141
12/31/19,B77W,1181
12/31/19,B788,597
12/31/19,B789,788
12/31/19,B78X,26
12/31/19,BCS1,144
12/31/19,BCS3,12
12/31/19,BE10,9
12/31/19,BE20,35
12/31/19,BE30,9
12/31/19,BE99,47
12/31/19,BE9L,2
12/31/19,BN2P,13
12/31/19,BN2T,1
12/31/19,C10T,54
12/31/19,C172,98
12/31/19,C182,1
12/31/19,C208,449
12/31/19,C212,1
