accession_id,virus_name,location,collection_date
EPI_ISL_417141,hCoV-19/USA/WA-S88/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_420793,hCoV-19/USA/NY_2929/2020,North America / USA / New York,2020-03-02
EPI_ISL_417142,hCoV-19/USA/WA-S89/2020,North America / USA / Washington / Umatilla County,2020-02-29
EPI_ISL_420792,hCoV-19/USA/NH_0008/2020,North America / USA / New Hampshire,2020-03-02
EPI_ISL_420795,hCoV-19/USA/RI_0556/2020,North America / USA / Rhode Island,2020-03-01
EPI_ISL_417140,hCoV-19/USA/WA-S87/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_420794,hCoV-19/USA/OR_5430/2020,North America / USA / Oregon,2020-03-01
EPI_ISL_417145,hCoV-19/USA/WA-S92/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417146,hCoV-19/USA/WA-S93/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417143,hCoV-19/USA/WA-S90/2020,North America / USA / Washington / Umatilla County,2020-02-29
EPI_ISL_420791,hCoV-19/USA/NH_0004/2020,North America / USA / New Hampshire,2020-02-29
EPI_ISL_417144,hCoV-19/USA/WA-S91/2020,North America / USA / Washington / Snohomish County,2020-03-02
EPI_ISL_420790,hCoV-19/USA/IL_1293/2020,North America / USA / Illinois,2020-03-01
EPI_ISL_417149,hCoV-19/USA/WA-S96/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417147,hCoV-19/USA/WA-S94/2020,North America / USA / Washington / Snohomish County,2020-02-28
EPI_ISL_417148,hCoV-19/USA/WA-S95/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_420789,hCoV-19/USA/IL_1375/2020,North America / USA / Illinois,2020-03-01
EPI_ISL_420786,hCoV-19/USA/GA_1320/2020,North America / USA / Georgia,2020-03-03
EPI_ISL_420785,hCoV-19/USA/FL_6318/2020,North America / USA / Florida,2020-03-02
EPI_ISL_420788,hCoV-19/USA/GA_1445/2020,North America / USA / Georgia,2020-03-04
EPI_ISL_420787,hCoV-19/USA/GA_1299/2020,North America / USA / Georgia,2020-03-03
EPI_ISL_417130,hCoV-19/USA/WA-S77/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419793,hCoV-19/Australia/VIC81/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417131,hCoV-19/USA/WA-S78/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419792,hCoV-19/Australia/VIC80/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_419791,hCoV-19/Australia/VIC79/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_420784,hCoV-19/USA/AZ_4811/2020,North America / USA / Arizona,2020-03-02
EPI_ISL_419790,hCoV-19/Australia/VIC78/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417134,hCoV-19/USA/WA-S81/2020,North America / USA / Washington / King County,2020-02-26
EPI_ISL_419797,hCoV-19/Australia/VIC87/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417135,hCoV-19/USA/WA-S82/2020,North America / USA / Washington / King County,2020-02-22
EPI_ISL_419796,hCoV-19/Australia/VIC86/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417132,hCoV-19/USA/WA-S79/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419795,hCoV-19/Australia/VIC85/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417133,hCoV-19/USA/WA-S80/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419794,hCoV-19/Australia/VIC82/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417138,hCoV-19/USA/WA-S85/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_417139,hCoV-19/USA/WA-S86/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_417136,hCoV-19/USA/WA-S83/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419799,hCoV-19/Australia/VIC83/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417137,hCoV-19/USA/WA-S84/2020,North America / USA / Washington / King County,2020-02-21
EPI_ISL_419798,hCoV-19/Australia/VIC88/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_420775,hCoV-19/England/20142062904/2020,Europe / United Kingdom / England,2020-03-30
EPI_ISL_420774,hCoV-19/England/20142062604/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420777,hCoV-19/England/20142063404/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420776,hCoV-19/England/20142063004/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_417163,hCoV-19/USA/WA-S110/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_417164,hCoV-19/USA/WA-S111/2020,North America / USA / Washington / King County,2020-03-07
EPI_ISL_417161,hCoV-19/USA/WA-S108/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417162,hCoV-19/USA/WA-S109/2020,North America / USA / Washington / Snohomish County,2020-03-01
EPI_ISL_417167,hCoV-19/USA/WA-S114/2020,North America / USA / Washington / Snohomish County,2020-03-05
EPI_ISL_417168,hCoV-19/USA/WA-S115/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417165,hCoV-19/USA/WA-S112/2020,North America / USA / Washington / King County,2020-03-08
EPI_ISL_417166,hCoV-19/USA/WA-S113/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417169,hCoV-19/USA/WA-S116/2020,North America / USA / Washington,2020-03-02
EPI_ISL_417160,hCoV-19/USA/WA-S107/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417152,hCoV-19/USA/WA-S99/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417153,hCoV-19/USA/WA-S100/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417150,hCoV-19/USA/WA-S97/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417151,hCoV-19/USA/WA-S98/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417156,hCoV-19/USA/WA-S103/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417157,hCoV-19/USA/WA-S104/2020,North America / USA / Washington / Snohomish County,2020-03-05
EPI_ISL_417154,hCoV-19/USA/WA-S101/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417155,hCoV-19/USA/WA-S102/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417158,hCoV-19/USA/WA-S105/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417159,hCoV-19/USA/WA-S106/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_420797,hCoV-19/USA/TX_2817/2020,North America / USA / Texas,2020-03-01
EPI_ISL_420796,hCoV-19/USA/TX_2039/2020,North America / USA / Texas,2020-02-29
EPI_ISL_420799,hCoV-19/Korea/BA-ACH_2604/2020,Asia / Korea,2020-02-27
EPI_ISL_420798,hCoV-19/USA/TX_2967/2020,North America / USA / Texas,2020-03-01
EPI_ISL_417185,hCoV-19/Hong Kong/HKPU28_3001/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417186,hCoV-19/South Africa/R03006-20/2020,Africa / South Africa / KZN,2020-03-07
EPI_ISL_417183,hCoV-19/Hong Kong/HKPU23_2601/2020,Asia / Hong Kong,2020-01-30
EPI_ISL_417184,hCoV-19/Hong Kong/HKPU27_3001/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417189,hCoV-19/USA/MN4-MDH4/2020,North America / USA / Minnesota,2020-03-09
EPI_ISL_417187,hCoV-19/Hong Kong/HKPU29_0102/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417188,hCoV-19/Hong Kong/HKPU30_2901/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417181,hCoV-19/Hong Kong/HKPU19_0402/2020,Asia / Hong Kong,2020-02-05
EPI_ISL_417182,hCoV-19/Hong Kong/HKPU20_3001/2020,Asia / Hong Kong,2020-02-05
EPI_ISL_417180,hCoV-19/Hong Kong/HKPU17_2201/2020,Asia / Hong Kong,2020-02-03
EPI_ISL_426900,hCoV-19/Australia/NT12/2020,Oceania / Australia / Northern territory,2020-03-25
EPI_ISL_417174,hCoV-19/USA/WA-S121/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_426901,hCoV-19/Australia/NT13/2020,Oceania / Australia / Northern territory,2020-03-25
EPI_ISL_417175,hCoV-19/USA/WA-S122/2020,North America / USA / Washington / Grant County,2020-03-02
EPI_ISL_426902,hCoV-19/Australia/NT14/2020,Oceania / Australia / Northern territory,2020-03-26
EPI_ISL_417172,hCoV-19/USA/WA-S119/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_426903,hCoV-19/Australia/NT16/2020,Oceania / Australia / Northern territory,2020-03-24
EPI_ISL_417173,hCoV-19/USA/WA-S120/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_426904,hCoV-19/Australia/NT17/2020,Oceania / Australia / Northern territory,2020-03-24
EPI_ISL_417178,hCoV-19/Hong Kong/HKPU6_2101/2020,Asia / Hong Kong,2020-01-25
EPI_ISL_426905,hCoV-19/Australia/VIC390/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_417179,hCoV-19/Hong Kong/HKPU12_2201/2020,Asia / Hong Kong,2020-01-30
EPI_ISL_426906,hCoV-19/Australia/VIC473/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_417176,hCoV-19/Hong Kong/HKPU1_2101/2020,Asia / Hong Kong,2020-01-21
EPI_ISL_426907,hCoV-19/Australia/VIC475/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_417177,hCoV-19/Hong Kong/HKPU2_1801/2020,Asia / Hong Kong,2020-01-23
EPI_ISL_426908,hCoV-19/Australia/VIC476/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_426909,hCoV-19/Australia/VIC477/2020,Oceania / Australia / Victoria,2020-03-28
